AUNumber,InstName,Category,IUNumber,IU,CountyName,StatusDescription,EffectiveDate,PhoneNumber,PhoneNumberExtn,WebAddress,MailingAddressLine1,MailingAddressLine2,MailingCity,MailingState,MailingZipCode,MailingZipCodeExtn,LocationAddressLine1,LocationAddressLine2,LocationCity,LocationState,LocationZipCode,LocationZipCodeExtn,Title,Salutation,FirstName,MiddleInitial,LastName,Suffix,AdminPhoneNumber,AdminPhoneNumberExtn,CommissionStartDate,CommissionExpirationDate,
913380034,Annville Free Library,Library,,,Lebanon,Open,11/09/2000,(717)867-1802,,http://www.leblibrarysys.org/annville.html,216 East Main St,,Annville,PA,17003,1599,216 East Main St,,Annville,PA,17003,1599,Director,,Dee , ,Neff ,,(717)867-1802,,,,
113380303,Annville-Cleona SD,School District,13,Lancaster-Lebanon IU 13,Lebanon,Open,08/03/1999,(717)867-7600,,http://www.acschools.org,520 S White Oak St,,Annville,PA,17003,2200,520 S White Oak St,,Annville,PA,17003,2200,Assistant Superintendent,Dr,Josiah,J,Keene,,(717)867-7600,5003,07/01/2020,06/30/2023,
113380303,Annville-Cleona SD,School District,13,Lancaster-Lebanon IU 13,Lebanon,Open,08/03/1999,(717)867-7600,,http://www.acschools.org,520 S White Oak St,,Annville,PA,17003,2200,520 S White Oak St,,Annville,PA,17003,2200,Business Manager,Mr,Steven,,Ritter,,(717)867-7600,5001,,,
113380303,Annville-Cleona SD,School District,13,Lancaster-Lebanon IU 13,Lebanon,Open,08/03/1999,(717)867-7600,,http://www.acschools.org,520 S White Oak St,,Annville,PA,17003,2200,520 S White Oak St,,Annville,PA,17003,2200,Superintendent,Dr,Krista,M,Antonis,,(717)867-7600,5000,07/01/2020,06/30/2024,
304513408,Anointed Flavors Learning Center LLC,Miscellaneous,,,Philadelphia,Open,06/26/2018,(267)758-5411,,,1929 W Hunting Park Avenue,,Philadelphia,PA,19140,2801,1929 W Hunting Park Avenue,,Philadelphia,PA,19140,2801,Director,Ms,Beverly,,Thomas,,(267)632-1720,,,,
395512754,Anthony Harris dba Old City Child Care,Miscellaneous,,,Philadelphia,Open,03/14/2008,(215)609-4928,,,16 South Letitia Street,,Philadelphia,PA,19106,,16 South Letitia Street,,Philadelphia,PA,19106,,Chief Administrative Officer,Mr,Anthony,,Harris,,,,,,
300490475,Anthracite Behavorial Health S,Miscellaneous,16,Central Susquehanna IU 16,Northumberland,Open,03/07/2000,,,,100 N Vine St,,Mt Carmel,PA,17851,,100 N Vine St,,Mt Carmel,PA,17851,,,,,,,,,,,,
348512104,Anti Defamation League,Act 48 Independent Provider,,,Philadelphia,Open,05/01/2008,(215)568-2223,226,,One Penn Center Suite 1160,1617 John F. Kennedy Blvd.,Philadelphia,PA,19103,,One Penn Center Suite 1160,1617 John F. Kennedy Blvd.,Philadelphia,PA,19103,,,,,,,,,,,,
326510081,Anti-Defamation League-Eastern Pennsylvania Regional Office,Act 48 Independent Provider,,,Philadelphia,Open,06/01/2008,(215)568-2223,,http://www.adl.org,"One Penn Center, Suite 1160, 1617 John F. Kennedy ",,Philadelphia,PA,19103,1811,"One Penn Center, Suite 1160, 1617 John F. Kennedy ",,Philadelphia,PA,19103,1811,,,,,,,,,,,
114060503,Antietam SD,School District,14,Berks County IU 14,Berks,Open,06/08/1999,(610)779-0554,,http://www.antietamsd.org,100 Antietam Rd Stony Ck Mills,,Reading,PA,19606,1018,100 Antietam Rd Stony Ck Mills,,Reading,PA,19606,1018,Assistant Superintendent,,,,Vacant,,,,,,
114060503,Antietam SD,School District,14,Berks County IU 14,Berks,Open,06/08/1999,(610)779-0554,,http://www.antietamsd.org,100 Antietam Rd Stony Ck Mills,,Reading,PA,19606,1018,100 Antietam Rd Stony Ck Mills,,Reading,PA,19606,1018,Business Manager,Mrs,Tracy,,Detwiler,,(610)779-0554,,,,
114060503,Antietam SD,School District,14,Berks County IU 14,Berks,Open,06/08/1999,(610)779-0554,,http://www.antietamsd.org,100 Antietam Rd Stony Ck Mills,,Reading,PA,19606,1018,100 Antietam Rd Stony Ck Mills,,Reading,PA,19606,1018,Superintendent,Mr,Jeffrey,R,Boyer,,(610)779-0554,,08/01/2018,07/31/2023,
322252907,Antioch Missionary Baptist Church,Miscellaneous,,,Erie,Open,05/24/2016,(814)454-0267,,,160 West 29th Street,,Erie,PA,16502,2852,160 West 29th Street,,Erie,PA,16502,2852,Director,Ms,Constance,L,Burnett,,(814)454-0267,,,,
300650660,Antiochian Village Camp,"Other Private, Non-Licensed Entity",7,Westmoreland IU 7,Westmoreland,Open,06/21/1996,(724)238-3677,,,RR 1 Box 307,,Bolivar,PA,15923,9603,RR 1 Box 307,,Bolivar,PA,15923,9603,,,,,,,,,,,
104510394,Antonia Pantoja Community CS,Charter School                          ,26,Philadelphia IU 26,Philadelphia,Open,07/01/2008,(215)455-1300,,,4101 North American Street,,Philadelphia,PA,19140,,4101 North American Street,,Philadelphia,PA,19140,,Chief Executive Officer,Mrs,Andrea,,Gonzalez-Kirwin,,(215)455-1300,,,,
351095106,Antoshka Day Care Center,Miscellaneous,,,Bucks,Open,06/28/2013,(267)684-6545,,,195 Philmont Avenue,,Feasterville Trevose,PA,19053,6402,195 Philmont Avenue,,Feasterville Trevose,PA,19053,6402,Director,Ms,Anontina,,Zavlunova,,(267)684-6545,,,,
212280503,Antrim Mennonite School,"Nonpublic, Non-Licensed School",12,Lincoln IU 12,Franklin,Open,10/01/1992,(717)263-4306,,,2979 Newcomer Road,,Chambersburg,PA,17202,,414 Zarger Road,,Greencastle,PA,17225,,Principal,Mr,Adrian,,Kuhns,,,,,,
306020181,"Apangea Learning, Inc.",Act 48 Independent Provider,,,Allegheny,Open,05/01/2008,(866)357-8664,100,http://www.apangealearning.com,116 Federal Street,2nd Floor,Pittsburgh,PA,15212,,116 Federal Street,2nd Floor,Pittsburgh,PA,15212,,,,,,,,,,,,
300511310,Apm Emergency Shelter,"Other Private, Non-Licensed Entity",26,Philadelphia IU 26,Philadelphia,Open,09/25/1991,(215)765-3200,,,2147 North 6th Street,,Philadelphia,PA,19130,3321,2147 North 6th Street,,Philadelphia,PA,19130,3321,,,,,,,,,,,
928030033,Apollo Memorial Library,Library,,,Armstrong,Open,11/09/2000,(724)478-4214,,http://www.home.kiski.net/~alibrary,219 N Pennsylvania Ave,,Apollo,PA,15613,1371,219 N Pennsylvania Ave,,Apollo,PA,15613,1371,Director,,Krista, ,Mason,,(631)332-7981,,,,
128030603,Apollo-Ridge SD,School District,28,ARIN IU 28,Armstrong,Open,06/08/1999,(724)478-6010,,http://www.apolloridge.com,PO Box 219,,Spring Church,PA,15686,0219,1825 State Route 56,,Spring Church,PA,15686,    ,Assistant Superintendent,Mrs,Jennie,,Ivory,,(724)478-6020,,07/01/2017,06/30/2022,
128030603,Apollo-Ridge SD,School District,28,ARIN IU 28,Armstrong,Open,06/08/1999,(724)478-6010,,http://www.apolloridge.com,PO Box 219,,Spring Church,PA,15686,0219,1825 State Route 56,,Spring Church,PA,15686,    ,Superintendent,Dr,Matthew,E,Curci,,(724)478-6010,,07/01/2017,06/30/2022,
208561055,Apostolic Christian Academy,"Nonpublic, Non-Licensed School",8,Appalachia IU 8,Somerset,Open,10/01/1997,(814)443-0715,,,141 Foward Boulevard,,Somerset,PA,15501,0000,141 Forward Boulevard,,Somerset,PA,15501,,Principal,,Craig,,Lane,,,,,,
303020028,Apostolic Faith Church,Miscellaneous,3,Allegheny IU 3,Allegheny,Open,05/18/2005,(412)351-5444,,,44 Miller Street,,Rankin,PA,15104,,44 Miller Street,,Rankin,PA,15104,,,,,,,,,,,,
108000000,Appalachia IU 8,Intermediate Unit,8,Appalachia IU 8,Blair,Open,11/15/1991,(814)940-0223,,http://www.iu08.org,4500 6th Avenue,,Altoona,PA,16602,,4500 6th Avenue,,Altoona,PA,16602,,Assistant Executive Director,,,,Vacant,,,,,,
108000000,Appalachia IU 8,Intermediate Unit,8,Appalachia IU 8,Blair,Open,11/15/1991,(814)940-0223,,http://www.iu08.org,4500 6th Avenue,,Altoona,PA,16602,,4500 6th Avenue,,Altoona,PA,16602,,Business Manager,Mr,Jason,S,McMillen,,(814)940-0223,1310,,,
108000000,Appalachia IU 8,Intermediate Unit,8,Appalachia IU 8,Blair,Open,11/15/1991,(814)940-0223,,http://www.iu08.org,4500 6th Avenue,,Altoona,PA,16602,,4500 6th Avenue,,Altoona,PA,16602,,Executive Director,Dr,Thomas,A,Butler,,(814)940-0223,1300,08/05/2017,08/04/2021,
300110430,Appalachian Y S Gails House,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Cambria,Open,01/12/1993,,,,121 N Julian St,,Ebensburg,PA,15931,1516,121 N Julian St,,Ebensburg,PA,15931,1516,,,,,,,,,,,
300110410,Appalachian Y S Julian House,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Cambria,Open,01/12/1993,,,,408 S Julian St,,Ebensburg,PA,15931,1919,408 S Julian St,,Ebensburg,PA,15931,1919,,,,,,,,,,,
300110420,Appalachian Y S Kays House,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Cambria,Open,01/12/1993,,,,RR 1,,Patton,PA,16668,9801,RR 1,,Patton,PA,16668,9801,,,,,,,,,,,
300560200,Appalachian Y S Rosemary House,"Other Private, Non-Licensed Entity",17,BLaST IU 17,Somerset,Open,01/12/1993,,,,907 Main St,,Windber,PA,15963,2321,907 Main St,,Windber,PA,15963,2321,,,,,,,,,,,
300110400,Appalachian Youth Service,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Cambria,Open,07/06/1990,,,,Suite A,115 S Marian St,Ebensburg,PA,15931,1522,Suite A,115 S Marian St,Ebensburg,PA,15931,1522,,,,,,,,,,,
308118532,Appalachian Youth Service - Kathys House,Miscellaneous,8,Appalachia IU 8,Cambria,Open,05/29/2013,(814)471-6909,,,135 Sanborn Lane,,Ebensburg,PA,15931,,135 Sanborn Lane,,Ebensburg,PA,15931,,Education Director,Ms,Rhonda,,Benner,,,,,,
308119304,Appalachian Youth Service - Ross House,Miscellaneous,8,Appalachia IU 8,Cambria,Open,05/29/2013,(814)471-6548,,,150 Sanborn Lane,,Ebensburg,PA,15931,,150 Sanborn Lane,,Ebensburg,PA,15931,,Education Director,Ms,Rhonda,,Benner,,,,,,
300110440,Appalachian Ys Jacks House,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Cambria,Open,07/26/1996,,,,4542 Colonel Drake Hwy,,Patton,PA,16668,5701,4542 Colonel Drake Hwy,,Patton,PA,16668,5701,,,,,,,,,,,
340512345,Apple Child Care Center LLC DBA Apple Child Care Center,Miscellaneous,,,Philadelphia,Open,03/03/2015,(215)338-2100,,,6901 Hawthorne Street,,Philadelphia,PA,19149,2023,6901 Hawthorne Street,,Philadelphia,PA,19149,2023,Director,Mr,Robert,,Borenstein,,(215)338-2100,10,,,
204370254,Apple Grove School,"Nonpublic, Non-Licensed School",4,Midwestern IU 4,Lawrence,Open,10/01/1992,,,,395 Heasley Road,,Pulaski,PA,16143,,1490 Heather Heights Road,,New Wilmington,PA,16142,,Principal,Mr,Levi,D,Mast,,,,,,
213360452,Apple Grove School,"Nonpublic, Non-Licensed School",13,Lancaster-Lebanon IU 13,Lancaster,Open,10/01/1992,(717)354-4987,,,5775 Northeimer Road,,Narvon,PA,17555,0000,770 Evans Road,,Narvon,PA,17555,0000,Principal,,Norman,,"Beiler, Jr.",,,,,,
300420002,APPLE OF MY EYE,Miscellaneous,,,McKean,Open,12/15/2004,,,,138 BAYARD ST,,KANE,PA,16735,,138 BAYARD ST,,KANE,PA,16735,,,,,,,,,,,,
336231166,Apple Pie Chester,Miscellaneous,,,Delaware,Open,04/04/2013,(610)447-1222,,,18 East 8th Street,,Chester,PA,19013,,18 East 8th Street,,Chester,PA,19013,,Director,Mr,Vincent (Jim),,Mattera,,(610)447-1222,,,,
300230012,APPLE PIE DAY CARE INC,Miscellaneous,,,Delaware,Open,08/23/2004,,,,3 SOUTH STATE ROAD,,UPPER DARBY,PA,19082,,3 SOUTH STATE ROAD,,UPPER DARBY,PA,19082,,,,,,,,,,,,
391230211,Apple Pie Long Lane (formerly Kids Smart),Miscellaneous,,,Delaware,Open,01/09/2008,(484)461-6708,,,67 LONG LANE,,UPPER DARBY,PA,19082,2507,67 LONG LANE,,UPPER DARBY,PA,19082,2507,Chief Administrative Officer,Mr,Jim,,Mattera,,,,,,
300003189,Applebaum Training Institute,Act 48 Independent Provider,,,Out-of-State,Open,02/01/2013,(800)232-4453,,,104 Industrial Boulevard  Suite A,,Sugar Land,TX,77478,,104 Industrial Boulevard  Suite A,,Sugar Land,TX,77478,,,,,,,,,,,,
307650001,Appleseed Learning Center,"Licensed, Private Academic School",7,Westmoreland IU 7,Westmoreland,Open,10/25/2001,(724)845-8300,,,"1001 S Leechburg Hill Rd, Suite 7",,Leechburg,PA,15656,,"1001 S Leechburg Hill Rd, Suite 7",,Leechburg,PA,15656,,Director,Ms,Cherise,M,Rachal,,(724)448-0030,,,,
326510651,Appleseeds Learning Center LLC,Miscellaneous,26,Philadelphia IU 26,Philadelphia,Open,04/24/2017,(215)223-0333,,,2418 W York St,,Philadelphia,PA,19132,,2418 W York St,,Philadelphia,PA,19132,,Director,Mr,Arlen,C,LaRue,,(215)223-0333,,,,
317510265,Appletree Childcare & Learning Ctr,Miscellaneous,,,Philadelphia,Open,04/30/2015,(215)281-9223,,,3665 East Crown Ave,,Philadelphia,PA,19114,1958,3665 East Crown Ave,,Philadelphia,PA,19114,1958,Director,Mr,Josh,,Borenstein,,(215)281-9223,,,,
420482209,"Applied Motion Technologies, Inc./ITTC",Private Licensed School,,,Northampton,Open,02/20/2020,(610)704-2591,,https://amthydraulics.com/,625 Linden Street,,Bethlehem,PA,18018,,625 Linden Street,,Bethlehem,PA,18018,,Director,Mr,James,C,Trinkle,,(610)704-2591,,,,
420482209,"Applied Motion Technologies, Inc./ITTC",Private Licensed School,,,Northampton,Open,02/20/2020,(610)704-2591,,https://amthydraulics.com/,625 Linden Street,,Bethlehem,PA,18018,,625 Linden Street,,Bethlehem,PA,18018,,Director,Mr,Richard,E,Yanza,,(610)704-2591,,,,
420482209,"Applied Motion Technologies, Inc./ITTC",Private Licensed School,,,Northampton,Open,02/20/2020,(610)704-2591,,https://amthydraulics.com/,625 Linden Street,,Bethlehem,PA,18018,,625 Linden Street,,Bethlehem,PA,18018,,Director,Ms,Veronica,,DeMarest,,(610)704-2591,,,,
420482209,"Applied Motion Technologies, Inc./ITTC",Private Licensed School,,,Northampton,Open,02/20/2020,(610)704-2591,,https://amthydraulics.com/,625 Linden Street,,Bethlehem,PA,18018,,625 Linden Street,,Bethlehem,PA,18018,,Director,Ms,Virginia,L,Yanza,,(610)704-2591,,,,
426516159,Apprentice Training for the Electrical Industry (ATEI),Private Licensed School,,,Philadelphia,Open,06/15/2015,(215)567-6405,,http://www.atei98.org/,1719 Spring Garden Street 2nd Floor,,Philadelphia,PA,19130,,1719 Spring Garden Street 2nd Floor,,Philadelphia,PA,19130,,Chief Executive Officer,Mr,Brian,,Myers,,(215)567-6405,,,,
426516159,Apprentice Training for the Electrical Industry (ATEI),Private Licensed School,,,Philadelphia,Open,06/15/2015,(215)567-6405,,http://www.atei98.org/,1719 Spring Garden Street 2nd Floor,,Philadelphia,PA,19130,,1719 Spring Garden Street 2nd Floor,,Philadelphia,PA,19130,,Chief Executive Officer,Mr,Michael,,Neill,,(215)567-6405,,,,
426516159,Apprentice Training for the Electrical Industry (ATEI),Private Licensed School,,,Philadelphia,Open,06/15/2015,(215)567-6405,,http://www.atei98.org/,1719 Spring Garden Street 2nd Floor,,Philadelphia,PA,19130,,1719 Spring Garden Street 2nd Floor,,Philadelphia,PA,19130,,Chief Executive Officer,Mr,Todd,,Neilson,,(215)567-6405,,,,
398593319,APRIL RANSOM DBA RANSOM DAY CARE,Miscellaneous,,,Tioga,Open,11/26/2008,(570)827-3008,,,55 DAM OVERLOOK LANE,,LAWRENCEVILLE,PA,16929,8419,55 DAM OVERLOOK LANE,,LAWRENCEVILLE,PA,16929,8419,Director,Ms,APRIL,,RANSOM,,,,,,
203020355,Aquinas Academy,"Nonpublic, Non-Licensed School",3,Allegheny IU 3,Allegheny,Open,10/01/1996,(724)444-0722,11,,2308 W. Hardies Rd.,,Gibsonia,PA,15044,,2308 West Hardies Road,,Gibsonia,PA,15044,,Principal,Mrs,Leslie,M,Mitros,,,,,,
207650205,Aquinas Academy,"Nonpublic, Non-Licensed School",7,Westmoreland IU 7,Westmoreland,Open,10/01/1995,(724)834-7940,,,340 N Main St,,Greensburg,PA,15601,1811,340 N Main St,,Greensburg,PA,15601,,Principal,,Joseph,,Rice,,,,,,
339518521,"Aramingo Adult Day Care, LLC",Miscellaneous,,,Philadelphia,Open,04/03/2013,(855)227-3777,,,3307-29 Agate Street,,Philadlphia,PA,19134,,3307-29 Agate Street,,Philadlphia,PA,19134,,Director,Ms,Inna,,Vladimirova,,(215)888-8479,,,,
302366030,Arbor Place Inc.,Miscellaneous,,,Lancaster,Open,09/18/2012,(717)393-1523,,,520 North Street,,Lancaster,PA,17602,,520 North Street,,Lancaster,PA,17602,,Director,Mr,Jeremy,,Raff,,(717)393-1523,,,,
300110550,Arbutus Park Manor,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Cambria,Open,07/06/1990,(814)266-8621,,,207 Ottawa St,,Johnstown,PA,15904,2399,207 Ottawa St,,Johnstown,PA,15904,2399,,,,,,,,,,,
300210560,ARC Carlisle Group Home,"Other Private, Non-Licensed Entity",15,Capital Area IU 15,Cumberland,Open,01/12/1993,,,,343 E North St,,Carlisle,PA,17013,2541,343 E North St,,Carlisle,PA,17013,2541,,,,,,,,,,,
300220210,ARC Elmerton Group Home,"Other Private, Non-Licensed Entity",15,Capital Area IU 15,Dauphin,Open,01/12/1993,,,,PO Box 60741,,Harrisburg,PA,17106,0741,1320 Elmerton Avenue,,Harrisburg,PA,17110,,,,,,,,,,,,
300380200,ARC Lebanon Group Home,"Other Private, Non-Licensed Entity",13,Lancaster-Lebanon IU 13,Lebanon,Open,01/12/1993,,,,2765 N Lancaster St,,Jonestown,PA,17038,,2765 N Lancaster St,,Jonestown,PA,17038,,,,,,,,,,,,
300220215,ARC Mulberry Group Home,Miscellaneous,15,Capital Area IU 15,Dauphin,Open,07/29/1998,,,,1820 Mulberry St,,Harrisburg,PA,17104,1247,1820 Mulberry St,,Harrisburg,PA,17104,1247,,,,,,,,,,,
300157550,ARC of Chester County,"Licensed, Private Academic School",24,Chester County IU 24,Chester,Open,10/01/1990,(610)696-8090,,,900 Lawrence Dr,,West Chester,PA,19380,,900 Lawrence Dr,,West Chester,PA,19380,,Director,Ms,Sarah,C,Kuser,,(610)914-3966,,,,
300280200,ARC Secure Int Treatment,"Other Private, Non-Licensed Entity",12,Lincoln IU 12,Franklin,Open,01/12/1993,,,,191 Franklin Farm Ln,,Chambersburg,PA,17201,3007,191 Franklin Farm Ln,,Chambersburg,PA,17201,3007,,,,,,,,,,,
300650670,ARC Westmoreland,Miscellaneous,7,Westmoreland IU 7,Westmoreland,Open,07/10/2000,(724)837-8159,,,Donohoe Rd,RD 12 Box 179,Greensburg,PA,15601,,Donohoe Rd,RD 12 Box 179,Greensburg,PA,15601,,Director,Ms,Christel, ,McDowell,,,,,,
926511101,Arcadia Fine Arts Library,Library,,,Philadelphia,Open,07/13/2000,(215)972-2030,,,"128 N Broad St, 3rd Fl",,Philadelphia,PA,19102,,"128 N Broad St, 3rd Fl",,Philadelphia,PA,19102,,,,,,,,,,,,
423460504,Arcadia University,Private College and University,,,Montgomery,Open,07/01/1986,(215)572-2900,,https://www.arcadia.edu,450 South Easton Road,,Glenside,PA,19038,3295,450 South Easton Road,,Glenside,PA,19038,3295,Chief Executive Officer,Dr,Ajay,,Nair,,(215)572-2209,,,,
323460047,Arcadia University - Physical Therapy Department (non-credit,Act 48 Independent Provider,,,Montgomery,Open,08/26/2002,(717)253-4569,,http://www.arcadia.edu,450 S. Easton Road,,Glenside,PA,19038,3295,450 S. Easton Road,,Glenside,PA,19038,3295,,,,,,,,,,,
323460048,Arcadia University Education Department,Act 48 Independent Provider,,,Montgomery,Open,10/07/2002,(000)000-0000,,,450 S. Easton Road,,Glenside,PA,19038,3295,450 S. Easton Road,,Glenside,PA,19038,3295,,,,,,,,,,,
203023295,Archangel Gabriel School,"Nonpublic, Non-Licensed School",3,Allegheny IU 3,Allegheny,Open,10/01/1992,(412)787-2656,,,5720 Steubenville Pike,,McKees Rocks,PA,15136,,5720 Steubenville Pike,,McKees Rocks,PA,15136,,Principal,Mrs,Catherine,,Militzer,,,,,,
225230602,Archbishop John Carroll HS,"Nonpublic, Non-Licensed School",25,Delaware County IU 25,Delaware,Open,10/01/1992,(610)688-7610,,,211 Matson Ford Rd,,Radnor,PA,19087,4590,211 Matson Ford Rd,,Radnor,PA,19087,,Principal,Dr,Auchen,,Schulz,,,,,,
226510452,Archbishop Ryan High School,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,10/01/1992,(215)637-1800,,,11201 Academy Rd,,Philadelphia,PA,19154,3303,11201 Academy Rd,,Philadelphia,PA,19154,3303,Principal,Mr,Joseph,,McFadden,,,,,,
226510502,Archbishop Ryan Sch Deaf and Hard of Hearing Children,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,10/01/1992,(215)289-4220,,,4251 L Street,,Philadelphia,PA,19124,,4251 L Street,,Philadelphia,PA,19124,,Principal,Sr,Lisa,,"Lettiere, IHM",,,,,,
222090252,Archbishop Wood Catholic HS,"Nonpublic, Non-Licensed School",22,Bucks County IU 22,Bucks,Open,10/01/1992,(215)672-5050,,http://www.catholicschools-phl.org,655 York Rd,,Warminster,PA,18974,2001,655 York Rd,,Warminster,PA,18974,2001,Principal,Ms,Mary,,Harkins,,,,,,
226510532,Archdiocese of Philadelphia,Diocese,26,Philadelphia IU 26,Philadelphia,Open,04/21/1995,(215)587-3700,,,222 N 17th St,,Philadelphia,PA,19103,1202,222 N 17th St,,Philadelphia,PA,19103,1202,Diocesan Superintendent,,"Sister Maureen McDermott, Secondary",,"Andrew McLaughlin, Elementary",,,,,,
326510054,Archdiocese of Philadelphia RCCI,Miscellaneous,26,Philadelphia IU 26,Philadelphia,Open,04/05/2004,(215)875-3730,,,111 South 38th Street,,Philadelphia,PA,19104,,111 South 38th Street,,Philadelphia,PA,19104,,,,,,,,,,,,
923460093,Ardmore Free Library,Library,,,Montgomery,Open,07/06/1990,,,http://www.lower-merion.lib.pa.us,108 Ardmore Ave,,Ardmore,PA,19003,1399,108 Ardmore Ave,,Ardmore,PA,19003,1399,,,,,,,,,,,
923460664,Ardmore Free Library,Library,,,Montgomery,Open,01/22/2003,(610)642-5187,,,108 Ardmore Ave ,,Ardmore ,PA,19003,1399,108 Ardmore Ave ,,Ardmore ,PA,19003,1399,Director,,Jane,T,Quin,,(610)642-5187,,,,
341513735,Argos Child Care Center LLC,Miscellaneous,,,Philadelphia,Open,05/13/2015,(267)858-4367,,,460-70 N. 2nd Street,,Philadelphia,PA,19123,4210,460-70 N. 2nd Street,,Philadelphia,PA,19123,4210,Director,Ms,Marlo,,Satchell,,(267)858-4367,,,,
378510363,Arielle's World Daycare Center LLC,Miscellaneous,,,Philadelphia,Open,01/31/2017,(215)515-3220,,,1002 N Marshall Street,1st Floor,Philadelphia,PA,19123,1309,1002 N Marshall Street,1st Floor,Philadelphia,PA,19123,1309,Director,Ms,Aminha,J,Howell,,(267)457-9422,,,,
128000000,ARIN IU 28,Intermediate Unit,28,ARIN IU 28,Indiana,Open,07/26/2000,(724)463-5300,,http://www.iu28.org,2895 W Pike,,Indiana,PA,15701,9769,2895 W Pike,,Indiana,PA,15701,9769,Business Manager,Mr,Clifford,A,Geary,,(724)463-5300,1255,,,
128000000,ARIN IU 28,Intermediate Unit,28,ARIN IU 28,Indiana,Open,07/26/2000,(724)463-5300,,http://www.iu28.org,2895 W Pike,,Indiana,PA,15701,9769,2895 W Pike,,Indiana,PA,15701,9769,Executive Director,Mr,James,J,Wagner,,(724)463-5300,1290,07/01/2017,06/30/2021,
128000000,ARIN IU 28,Intermediate Unit,28,ARIN IU 28,Indiana,Open,07/26/2000,(724)463-5300,,http://www.iu28.org,2895 W Pike,,Indiana,PA,15701,9769,2895 W Pike,,Indiana,PA,15701,9769,IMS Director,,Clifford,,Vacant,,,,,,
321511527,ARISING FUTURES CHILDCARE INC,Miscellaneous,,,Philadelphia,Open,05/25/2010,(215)848-8484,,,5902 GREENE STREET,,PHILADELPHIA,PA,19144,2718,5902 GREENE STREET,,PHILADELPHIA,PA,19144,2718,Director,Ms,VICTORIA,,BARFIELD,,(215)848-8484,,,,
923461825,Arkema Inc,Library,,,Montgomery,Open,06/18/1998,(610)878-6777,,,Information Resources ,"900 1st Ave, P O Box 61536",King of Prussia ,PA,19406,0936,Information Resources ,"900 1st Ave, P O Box 61536",King of Prussia ,PA,19406,0936,,,,,,,,,,,
326510082,Arkema Inc.,Act 48 Independent Provider,,,Philadelphia,Open,10/02/2002,(215)419-7614,,http://www.arkemagroup.com,2000 Market Street,,Philadelphia,PA,19103,,2000 Market Street,,Philadelphia,PA,19103,,,,,,,,,,,,
307530099,Armbrust Wesley Christian Academy,Act 48 Independent Provider,,,Potter,Open,07/24/2002,,,,"P.O. Box 115, Route 819/Hecia Road",,Armburst,PA,15616,,"P.O. Box 115, Route 819/Hecia Road",,Armburst,PA,15616,,,,,,,,,,,,
207650755,Armbrust Wesleyan Chrst Acad,"Nonpublic, Non-Licensed School",7,Westmoreland IU 7,Westmoreland,Open,10/01/1992,(724)925-3830,,,7786 State Route 819,,Hunker,PA,15639,,8876 Route 819 Hecla Road,,Armbrust,PA,15616,,Principal,Ms,Susan,,Stoner,,,,,,
300460220,Armenian Sisters Academy,"Nonpublic, Non-Licensed School",23,Montgomery County IU 23,Montgomery,Open,10/01/1990,(610)687-4100,,,440 Upper Gulph Rd,,Radnor,PA,19087,4649,440 Upper Gulph Road,,Radnor,PA,19087,,Principal,Sr,Emma,,Moussayan,,,,,,
338082074,Arms Wide Open Daycare LLC,Miscellaneous,,,Bradford,Open,06/07/2014,(570)596-2012,,,13584 Berwick Turnpike,,Gilett,PA,16925,9124,13584 Berwick Turnpike,,Gilett,PA,16925,9124,Director,Ms,Jamie,,Kellogg,,(570)596-2012,,,,
500030001,Armstrong Co,Miscellaneous,,,Armstrong,Open,04/17/1991,,,,Courthouse,,Kittanning,PA,16201,,Courthouse,,Kittanning,PA,16201,,,,,,,,,,,,
300030300,Armstrong Co Comm Action Agy,"Other Private, Non-Licensed Entity",28,ARIN IU 28,Armstrong,Open,07/06/1990,,,,ARMSDALE ADMINISTRATION BUILDING,124 Armsdale Rd Suite 211,Kittanning,PA,16201,,ARMSDALE ADMINISTRATION BUILDING,124 Armsdale Rd Suite 211,Kittanning,PA,16201,,,,,,,,,,,,
300030250,Armstrong Co Community Action Agency,"Other Private, Non-Licensed Entity",28,ARIN IU 28,Armstrong,Open,07/06/1990,(724)548-5156,,,705 Butler Rd,,Kittanning,PA,16201,,705 Butler Rd,,Kittanning,PA,16201,,,,,,,,,,,,
300030750,Armstrong Co Council Inc,"Other Private, Non-Licensed Entity",28,ARIN IU 28,Armstrong,Open,07/06/1990,,,,200 Oak Ave,,Kittanning,PA,16201,1455,200 Oak Ave,,Kittanning,PA,16201,1455,,,,,,,,,,,
300035500,Armstrong Driving School,Private Driver Training School,28,ARIN IU 28,Armstrong,Open,04/21/1999,(724)548-3421,,,705 Butler Road,,Kittanning,PA,16201,,705 Butler Road,,Kittanning,PA,16201,,Director,,Robert, ,Rowe,,(724)265-1990,,,,
